Serpent's Gift - Soulles Machine (Евгений Александрович);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;0,4;;0,2;;;;;;;;;0,4;;;;;
ЭХ, МАРС, ТВОЮ МАТЬ! - Арон Авесин & SUNO AI (Арон Авесин);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;
Упс! - Dj Zem (Станислав Земсков);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;
Relic - Lbz (Андрей Лабазов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;
Упала ночь на землю - Granny dances (+Suno AI) (Granny Dances);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;
Качает вагон - SK-AI projecT (Skart Ai Project);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;0,4;;;;;;;;;
День Х - b'n'd (Константин Бондаренко);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;
Это вирус - ИNVGEN (Ai Sound Architect Digital Composer);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;0,4;;;;;;
Если бы - Tvoy toy (Евгений Абрамов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;
Тут у моря - Михаил Зиновьев (Михаил Зиновьев);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;0,4;;;;;;;
Жара - Владимир Морозов (Владимир Морозов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;
Транс Вальс - blackpudding (Николай Петров);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;
Завтра - Телефон Доверия (Роберт Астаповский);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;
Ты не ангел мой (rock version) - Vitaly Sazonov (Виталий Сазонов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4; 
