;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;
Слёзы сбереги - MartyMacflay (Marty Macflay);0,4;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Июньский день - Gor Nagat (Михаил Жаров);0,1;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
На дорогах лесных - Ze Game (Ze Gamer);2,2;;;;;;;;;;;;;;0,4;0,1;;;0,4;;;;;;;;;;0,3;;;;;;;;;;;;0,2;;;;;0,3;;;0,2;;;;;;0,3;;;;;;;
Нарисованный мальчишка - Posternak (Николай Постернак);0,7;;;;;;;;;;;;;;0,1;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;
Distortion of Memory - Cycle of Desire (Яан Лодди);0,8;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;0,1;;;;;;;0,2;;;;
40 лет - Ai Kine$hma (Денис Смирнов);0,2;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Devil made me do it - sky ivi music (Ивита Полонская);2,4;;;;;;;;;;;;;;;;;;;;0,3;;0,3;;;;0,3;;0,4;;;;;0,2;;;;;;0,3;;;;;0,4;;;;;;;;;0,2;;;;;;;;
Чужое Солнце (2025) - Turbin (Алексей Леонтьев);1,1;;;;;;;;;;;;;;;;;;;0,1;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;0,1;0,3;;;;;
Иди - The NeuroSong (Руслан Назарович);0,2;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
be-the-light - Sky Vashuk (Sky Vashuk);0,1;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hushwires - Rheanomalia (Sashka Rheanomalia);1,2;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;
Гром неба - Коловрат (Коловрат Коло);0,3;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;0,1;;;;;
После жизни - Даркарт (Илья Дорожкин);1,5;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;0,2;0,1;;;;0,3;;;;;;;;;;0,4;;;;;;;0,4;;;;;;;
Echoes in the Hollow - Kate's world (seductivepiano669) (Екатерина Евстратова);1,5;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;0,3;;;;0,3;;;;;0,2;0,3;;;;;;;;;;;;;;;;;;;;;
В темноте - ZHUCHOK (Амалия Жучок);0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;
Эмодзи - Sona (Михаил Дмитриев);0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;0,3;;;0,2;;;;;;;;;;;;;;;;;;;;;;;
Вампир - Lisaviel (Юлия Журженко);0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;0,1;;;;;;0,3;;;;;;;;;;;;;;
Миры Хэмингуэя - N-Morson, В.Востриков (Валерий Востриков);0,2;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Разговор с собой (feat. SUNO) - StonedMilkBye (Андрей Воронин);0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;
Echo - Папа Сэм (Папа Сэм);0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;0,1;;;;;;;;
Hold me tight (kpop) - Mane x Luna (Дима Cавченко);0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;
Toronto Fader - НейроДрейк (Iva Muzhskoi);0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;0,2;;;;;;;;;0,1;;;;;;;;;;;;;;;;
Возможно - Сергей Чайка (Sergey Chayka);0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;0,2;0,1;;;;;0,2;;;;;
Дебил, но любил - N-Morson (Бред Питт);0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;0,4;;;;;;;;;;;;;;;;;;;;;;
Serpent's Gift - Soulles Machine (Евгений Александрович);1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;0,4;;0,2;;;;;;;;;0,4;;;;;;;;;
ЭХ, МАРС, ТВОЮ МАТЬ! - Арон Авесин & SUNO AI (Арон Авесин);0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;
Упс! - Dj Zem (Станислав Земсков);0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;
Relic - Lbz (Андрей Лабазов);0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;
Упала ночь на землю - Granny dances (+Suno AI) (Granny Dances);0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;
Качает вагон - SK-AI projecT (Skart Ai Project);0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;0,4;;;;;;;;;;;;;
День Х - b'n'd (Константин Бондаренко);0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;
Это вирус - ИNVGEN (Ai Sound Architect Digital Composer);0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;0,4;;;;;;;;;;
Если бы - Tvoy toy (Евгений Абрамов);0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;
Тут у моря - Михаил Зиновьев (Михаил Зиновьев);0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;0,4;;;;;;;;;;;
Жара - Владимир Морозов (Владимир Морозов);0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;
Транс Вальс - blackpudding (Николай Петров);0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;
Завтра - Телефон Доверия (Роберт Астаповский);0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;
Ты не ангел мой (rock version) - Vitaly Sazonov (Виталий Сазонов);0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;
